stop_id;stop_name;stop_desc;coord;stop_lat;stop_lon;code_INSEE;departement
1662797;Asnières-Gennevilliers Les Courtilles;Angle Boulevard Pierre de Coubertin / Avenue Lucien Lanternier - 92004;48.9302936229, 2.2837606332;48.93029362287076;2.2837606331952487;92004;92
1953;Gare de l'Est (Verdun);Strasbourg (terre plein face au 93 boulevard de) - 75110;48.876695836, 2.35799251055;48.87669583602489;2.3579925105504023;75110;75
2148;Charles de Gaulle-Etoile;Charles de Gaulle (place, 2 avenue de Wagram) - 75108;48.8739938407, 2.29466396183;48.87399384072475;2.294663961825911;75108;75
2144;Champs-Elysées-Clémenceau;Clémenceau (place) - 75108;48.8673665705, 2.31419106339;48.867366570469784;2.3141910633936584;75108;75
2154;Château de Vincennes;Paris (14 avenue de) - 94080;48.8443251444, 2.44055234621;48.84432514436857;2.440552346211822;94080;94
2297;Jaurès;Villette (entrée sous viaduc face au 196 boulevard de la) - 75119;48.8828762162, 2.37058633617;48.88287621621258;2.3705863361654225;75119;75
2295;Jasmin;Mozart (85 avenue, angle avec le 47 rue Ribera) - 75116;48.8524385192, 2.267933923;48.852438519222666;2.2679339230009505;75116;75
2315;Le Parc de Saint-Maur;Louvière (place de la) - 94068;48.8052800122, 2.48559432484;48.80528001222769;2.48559432484478;94068;94
2325;Liège;Liège (terre-plein face au 21 rue de) - 75108;48.8795371664, 2.32685794727;48.87953716638082;2.3268579472729614;75108;75
2301;Mairie d'Ivry;Maurice Thorez (213 avenue) - 94041;48.8112145355, 2.38350892873;48.81121453549021;2.383508928732683;94041;94
2337;Mairie d'Issy;Général Leclerc (rue du) - 92040;48.824346526, 2.2735658296;48.82434652601842;2.2735658296006465;92040;92
2288;Hôtel de Ville;Rue de Rivoli - 75104;48.8573559272, 2.35207356686;48.857355927169515;2.3520735668587185;75104;75
2289;Hôtel de Ville;Rue de Rivoli - 75104;48.8578053731, 2.35146077651;48.85780537313629;2.351460776513565;75104;75
2314;Opéra;Théâtre National de l'Opéra - 75109;48.8705592165, 2.33255448205;48.870559216544876;2.332554482049589;75109;75
2340;Poissy;George Pompidou (Place) - 78498;48.9331642624, 2.04108351097;48.933164262405;2.041083510970564;78498;78
2383;Palais-Royal (Musée du Louvre);Théâtre de la Comédie Française - Théâtre du Palais Royal - 75101;48.8623718215, 2.33657360074;48.8623718215243;2.3365736007364304;75101;75
2398;Philippe Auguste;Mont-Louis (19 rue de, 131 avenue Philippe Auguste) - 75111;48.8583788415, 2.38973473274;48.85837884146994;2.3897347327397043;75111;75
2400;Pierre et Marie Curie;Pierre Curie (1 bis rue) - 94041;48.8159171816, 2.37787881648;48.81591718160038;2.377878816483871;94041;94
2394;Père-Lachaise;République (avenue de la) - 75111;48.8631612051, 2.38726040018;48.86316120506396;2.3872604001843536;75111;75
2408;Place des Fêtes;Fêtes (place des, rue Compans) - 75119;48.8767294689, 2.39314603177;48.87672946890669;2.393146031767842;75119;75
2386;Palaiseau Villebon;Rue Antoine Arnault - 91477;48.707745883, 2.23703953312;48.707745883014454;2.237039533120401;91477;91
2399;Picpus;Saint-Mandé (46 avenue de) - 75112;48.8453231146, 2.40178631376;48.84532311461395;2.4017863137606863;75112;75
2411;Saint-Sulpice;Rue de Rennes - 75106;48.8511463551, 2.33096285637;48.8511463550549;2.3309628563664644;75106;75
3442429;BREA - NOTRE-DAME-DES-CHAMPS;22-24 RUE VAVIN - 75106;48.8437945386, 2.33021482715;48.843794538635784;2.330214827150182;75106;75
3442456;VANVES-LYCEE MICHELET;PLACE DU GENERAL LECLERC - 92075;48.8235266516, 2.28834884238;48.823526651568685;2.288348842384806;92075;92
3442465;RASPAIL - FLEURUS;35-35 BIS RUE DE FLEURUS - 75106;48.8467333474, 2.32856670972;48.84673334739729;2.328566709715835;75106;75
3442443;ALESIA - LES PLANTES;36 RUE DES PLANTES - 75114;48.8297732622, 2.32290651595;48.8297732621904;2.3229065159485742;75114;75
3442450;PONT DE LA VALLEE;0 R CLAUDE GARAMOND - 75115;48.8257242722, 2.30134623063;48.825724272247164;2.301346230632191;75115;75
3442431;VAVIN;106 BOULEVARD DU MONTPARNASSE - 75106;48.841952026, 2.32913939297;48.84195202597997;2.3291393929668964;75106;75
3442425;SENAT;FACE 19 RUE DE VAUGIRARD - 75106;48.8492052252, 2.33698231797;48.84920522522324;2.3369823179740905;75106;75
3442437;GAITE;FACE 75 AVENUE DU MAINE - 75114;48.8388146691, 2.32199178196;48.838814669136;2.321991781957784;75114;75
3442459;DIDOT;FACE 110 RUE DIDOT - 75114;48.8262395129, 2.31299786022;48.8262395129285;2.3129978602230077;75114;75
3442463;CHATEAU;1 RUE DIDOT - 75114;48.8339164189, 2.321843467;48.83391641885554;2.3218434670025436;75114;75
3442583;HOTEL DE VILLE DE BOULOGNE-BILLANCOURT;AVENUE ANDRE MORIZET - 92012;48.8361056163, 2.23877938094;48.83610561626088;2.2387793809367085;92012;92
3442551;PIERRE BROSSOLETTE - GABRIEL PERI;171 BOULEVARD GABRIEL PERI - 92046;48.8200192967, 2.30958453112;48.82001929667521;2.3095845311175642;92046;92
3442588;RHIN ET DANUBE-METRO;FACE 124 AVENUE ANDRE MORIZET - 92012;48.8400611498, 2.22955399671;48.84006114983078;2.2295539967116715;92012;92
3442545;PORTE D'ORLEANS-METRO;FACE 41 AV ERNEST REYER - 75114;48.8222507351, 2.32411998201;48.82225073510656;2.3241199820135248;75114;75
3442587;RHIN ET DANUBE-METRO;124 AVENUE ANDRE MORIZET - 92012;48.8402320362, 2.22968980013;48.84023203624206;2.2296898001349956;92012;92
3442582;MARCEL SEMBAT-METRO;5 AVENUE ANDRE MORIZET - 92012;48.8339607623, 2.24270433186;48.83396076230996;2.2427043318565953;92012;92
3442570;VICTOR HUGO;32 BOULEVARD DES FRERES VOISIN - 92040;48.8277883124, 2.27266317786;48.827788312419415;2.272663177862002;92040;92
3442569;VICTOR HUGO;19 BOULEVARD DES FRERES VOISIN - 92040;48.8280127514, 2.27220007005;48.82801275135446;2.2722000700485663;92040;92
3442550;RADIGUEY;79 RUE GABRIEL PERI - 92049;48.8192474443, 2.31475685627;48.81924744434094;2.3147568562747747;92049;92
3442590;RHIN ET DANUBE-METRO.;5 BIS AV DU MARECHAL DE LATTRE DE TASSIGNY - 92012;48.8408852693, 2.22657038457;48.840885269272704;2.2265703845664584;92012;92
1166827;Bibliothèque-François Mitterrand;Face au 62 rue du Chevaleret - 75113;48.8298306953, 2.37612000934;48.829830695271106;2.376120009344837;75113;75
1166832;Gare de Lyon;Rue de Bercy - 75112;48.844652151, 2.37310814755;48.844652150982945;2.37310814754528;75112;75
1735;Porte d'Orléans (Général Leclerc);Légion Etrangère (rue de la) - 75114;48.8228170602, 2.32507262515;48.82281706023495;2.325072625148001;75114;75
1740;Porte de Choisy;Masséna (130 boulevard, vers l'avenue de Choisy) - 75113;48.8199024462, 2.36496559829;48.81990244616168;2.364965598290819;75113;75
1729;Saint-Michel;Saint-Michel (place, vers le 5 boulevard Saint-Michel) - 75105;48.8535999079, 2.34399624109;48.853599907885794;2.3439962410940125;75105;75
1710;Rue du Bac;Raspail (terre-plein face au 2 boulevard) - 75107;48.8558913378, 2.3257049939;48.85589133781551;2.325704993899314;75107;75
1741;Porte de Clichy;Porte de Clichy (2 avenue de la) - 75117;48.8944360603, 2.31356566547;48.894436060297956;2.313565665465226;75117;75
1719;Saint-François-Xavier;Avenue de Villars - 75107;48.8509825598, 2.3144298646;48.8509825598235;2.31442986460027;75107;75
1698;Reuilly-Diderot;Diderot (73 boulevard) - 75112;48.847352877, 2.38584254004;48.8473528769588;2.3858425400402448;75112;75
1749;Porte de Vanves;Brune (9 boulevard) - 75114;48.8277653266, 2.30431235076;48.82776532658967;2.3043123507630607;75114;75
1758;Pyrénées;Simon Bolivar (4 avenue) - 75120;48.8738211723, 2.3848863722;48.87382117233675;2.384886372197903;75120;75
1731;Saint-Placide;Rue de Rennes - 75106;48.8470118402, 2.32705511136;48.84701184016864;2.327055111355132;75106;75
1637;Trocadéro;Trocadéro et Onze-Novembre (place du, avenue Paul Doumer) - 75116;48.863089135, 2.28684037849;48.8630891350352;2.2868403784945937;75116;75
1166834;Châtelet;Victoria (7 avenue, 4 rue Saint-Martin) - 75101;48.8589561813, 2.34736125521;48.85895618133369;2.3473612552142624;75101;75
1655;Marcadet-Poissonniers;Poissonniers (69 rue des) - 75118;48.8915439306, 2.34937111538;48.891543930630554;2.3493711153819112;75118;75
1633;Voltaire (Léon Blum);Voltaire (130 boulevard) - 75111;48.8576637258, 2.3800362968;48.85766372576006;2.3800362967955064;75111;75
1639;Villejuif-Léo Lagrange;Rue du Dauphin - 94076;48.8037696633, 2.36390930639;48.80376966328267;2.3639093063890435;94076;94
1647;République;Saint-Martin (9 boulevard) - 75111;48.8674108288, 2.36358782556;48.86741082883539;2.363587825558049;75111;75
