# wavelength_nm, shifted_wavelength_nm, flux_Wm2nm1
2.425000000000000000e+02,2.898429377635904416e+02,7.059999999999999609e-02
2.435000000000000000e+02,2.910381663729248203e+02,6.653000000000000580e-02
2.445000000000000000e+02,2.922333949822591990e+02,6.097000000000000336e-02
2.455000000000000000e+02,2.934286235915936345e+02,4.939000000000000334e-02
2.465000000000000000e+02,2.946238522009280132e+02,5.040000000000000036e-02
2.475000000000000000e+02,2.958190808102623919e+02,5.550000000000000072e-02
2.485000000000000000e+02,2.970143094195968274e+02,4.565000000000000308e-02
2.495000000000000000e+02,2.982095380289312061e+02,5.637999999999999956e-02
2.505000000000000000e+02,2.994047666382655848e+02,6.010000000000000064e-02
2.515000000000000000e+02,3.005999952475999635e+02,4.601000000000000228e-02
2.525000000000000000e+02,3.017952238569343990e+02,4.154999999999999666e-02
2.535000000000000000e+02,3.029904524662687777e+02,5.154999999999999860e-02
2.545000000000000000e+02,3.041856810756031564e+02,5.956999999999999795e-02
2.555000000000000000e+02,3.053809096849375351e+02,7.929999999999999549e-02
2.565000000000000000e+02,3.065761382942719706e+02,1.018000000000000016e-01
2.575000000000000000e+02,3.077713669036063493e+02,1.254000000000000115e-01
2.585000000000000000e+02,3.089665955129407280e+02,1.250999999999999890e-01
2.595000000000000000e+02,3.101618241222751067e+02,1.039999999999999952e-01
2.605000000000000000e+02,3.113570527316095422e+02,8.551000000000000267e-02
2.615000000000000000e+02,3.125522813409439209e+02,8.980000000000000482e-02
2.625000000000000000e+02,3.137475099502782996e+02,1.035999999999999976e-01
2.635000000000000000e+02,3.149427385596126783e+02,1.658000000000000029e-01
2.645000000000000000e+02,3.161379671689471138e+02,2.497000000000000053e-01
2.655000000000000000e+02,3.173331957782814925e+02,2.526999999999999802e-01
2.665000000000000000e+02,3.185284243876158712e+02,2.494000000000000106e-01
2.675000000000000000e+02,3.197236529969503067e+02,2.508000000000000229e-01
2.685000000000000000e+02,3.209188816062846854e+02,2.437999999999999889e-01
2.695000000000000000e+02,3.221141102156190641e+02,2.389000000000000012e-01
2.705000000000000000e+02,3.233093388249534428e+02,2.672999999999999821e-01
2.715000000000000000e+02,3.245045674342878783e+02,2.243999999999999884e-01
2.725000000000000000e+02,3.256997960436222570e+02,1.973999999999999921e-01
2.735000000000000000e+02,3.268950246529566357e+02,1.965000000000000080e-01
2.745000000000000000e+02,3.280902532622910144e+02,1.325999999999999956e-01
2.755000000000000000e+02,3.292854818716254499e+02,1.751000000000000056e-01
2.765000000000000000e+02,3.304807104809598286e+02,2.427999999999999881e-01
