#    5   57  Pure-hydrogen grid                             Fri Aug 21 10:44:45 2020
 Teff  logg  M/Mo  Mbol     BC    U      B      V      R      I      J      H      Ks     Y      J      H      K      W1     W2     W3     W4    S3.6   S4.5   S5.8   S8.0    u      g      r      i      z      g      r      i      z      y      G     G_BP   G_RP   FUV    NUV      Age
 25000. 7.0  0.270  6.210 -2.599  7.598  8.622  8.809  8.936  9.087  9.415  9.513  9.601  9.330  9.397  9.484  9.578  9.645  9.687  9.761  9.799  9.654  9.686  9.711  9.738  8.444  8.573  9.023  9.370  9.695  8.615  9.027  9.380  9.649  9.838  8.786  8.603  9.023  7.412  7.887 2.206E+05
 30000. 7.0  0.282  5.372 -3.018  7.011  8.150  8.391  8.531  8.705  9.077  9.192  9.294  8.978  9.060  9.163  9.272  9.355  9.404  9.478  9.506  9.365  9.401  9.430  9.458  7.856  8.122  8.614  8.982  9.322  8.173  8.618  8.992  9.273  9.475  8.354  8.140  8.633  6.645  7.188 0.000E+00
 35000. 7.0  0.294  4.654 -3.381  6.546  7.760  8.035  8.181  8.364  8.758  8.877  8.979  8.652  8.739  8.847  8.956  9.035  9.071  9.100  9.070  9.044  9.068  9.087  9.099  7.390  7.747  8.261  8.638  8.985  7.804  8.266  8.649  8.935  9.142  7.987  7.753  8.288  6.118  6.678 0.000E+00
 40000. 7.0  0.310  4.020 -3.768  6.245  7.494  7.787  7.936  8.124  8.527  8.647  8.747  8.418  8.507  8.617  8.725  8.801  8.833  8.849  8.804  8.809  8.830  8.846  8.853  7.088  7.488  8.015  8.397  8.746  7.548  8.020  8.407  8.695  8.905  7.733  7.488  8.045  5.767  6.347 0.000E+00
 45000. 7.0  0.326  3.451 -4.140  6.016  7.286  7.591  7.741  7.933  8.340  8.460  8.560  8.230  8.320  8.431  8.538  8.612  8.641  8.649  8.596  8.619  8.638  8.653  8.657  6.860  7.285  7.820  8.205  8.555  7.347  7.825  8.215  8.504  8.715  7.533  7.282  7.853  5.498  6.097 0.000E+00
 50000. 7.0  0.344  2.936 -4.487  5.826  7.110  7.423  7.575  7.768  8.179  8.299  8.399  8.068  8.159  8.270  8.376  8.449  8.477  8.479  8.420  8.456  8.474  8.487  8.489  6.669  7.112  7.653  8.040  8.391  7.175  7.658  8.050  8.340  8.552  7.362  7.107  7.687  5.275  5.890 0.000E+00
 55000. 7.0  0.361  2.471 -4.806  5.663  6.957  7.277  7.430  7.625  8.038  8.159  8.258  7.926  8.018  8.129  8.235  8.307  8.333  8.332  8.271  8.314  8.330  8.343  8.344  6.506  6.962  7.507  7.896  8.248  7.027  7.513  7.907  8.197  8.409  7.214  6.955  7.543  5.085  5.714 0.000E+00
 60000. 7.0  0.378  2.041 -5.100  5.513  6.816  7.142  7.295  7.491  7.906  8.027  8.126  7.794  7.886  7.998  8.104  8.175  8.200  8.196  8.135  8.181  8.197  8.209  8.209  6.356  6.823  7.372  7.762  8.115  6.889  7.378  7.773  8.064  8.276  7.076  6.815  7.409  4.912  5.553 0.000E+00
 65000. 7.0  0.395  1.647 -5.372  5.380  6.690  7.020  7.174  7.371  7.788  7.909  8.008  7.675  7.768  7.880  7.985  8.056  8.081  8.075  8.015  8.062  8.078  8.089  8.088  6.223  6.698  7.251  7.642  7.996  6.765  7.256  7.653  7.944  8.157  6.953  6.689  7.288  4.758  5.410 0.000E+00
 70000. 7.0  0.413  1.277 -5.624  5.252  6.568  6.902  7.056  7.255  7.673  7.795  7.893  7.560  7.653  7.765  7.871  7.941  7.965  7.958  7.900  7.947  7.962  7.973  7.972  6.095  6.578  7.133  7.526  7.880  6.645  7.139  7.536  7.828  8.041  6.834  6.568  7.172  4.612  5.274 0.000E+00
 75000. 7.0  0.431  0.929 -5.859  5.131  6.452  6.789  6.944  7.144  7.563  7.685  7.784  7.450  7.543  7.656  7.761  7.831  7.855  7.848  7.792  7.838  7.852  7.863  7.861  5.974  6.463  7.021  7.414  7.769  6.531  7.027  7.425  7.717  7.931  6.720  6.452  7.060  4.475  5.145 0.000E+00
 80000. 7.0  0.449  0.607 -6.079  5.021  6.346  6.686  6.842  7.042  7.463  7.585  7.684  7.349  7.442  7.556  7.662  7.731  7.755  7.748  7.694  7.738  7.752  7.762  7.761  5.864  6.358  6.918  7.312  7.667  6.427  6.924  7.323  7.616  7.830  6.616  6.347  6.958  4.350  5.028 0.000E+00
 85000. 7.0  0.465  0.304 -6.285  4.918  6.247  6.589  6.746  6.947  7.369  7.492  7.591  7.255  7.348  7.462  7.568  7.638  7.661  7.655  7.604  7.644  7.659  7.669  7.667  5.761  6.260  6.822  7.217  7.573  6.329  6.828  7.228  7.521  7.735  6.518  6.248  6.863  4.234  4.919 0.000E+00
 90000. 7.0  0.482  0.017 -6.479  4.819  6.152  6.496  6.653  6.855  7.278  7.401  7.501  7.164  7.258  7.372  7.478  7.548  7.571  7.565  7.517  7.554  7.569  7.579  7.577  5.662  6.166  6.730  7.125  7.481  6.235  6.735  7.136  7.429  7.644  6.425  6.153  6.771  4.123  4.814 0.000E+00
100000. 7.0  0.513 -0.507 -6.835  4.641  5.979  6.328  6.486  6.690  7.115  7.239  7.338  6.999  7.094  7.209  7.316  7.386  7.409  7.406  7.363  7.392  7.407  7.417  7.417  5.484  5.995  6.562  6.959  7.316  6.065  6.568  6.970  7.264  7.479  6.255  5.981  6.605  3.923  4.626 0.000E+00
110000. 7.0  0.544 -0.986 -7.156  4.475  5.818  6.170  6.330  6.535  6.962  7.086  7.187  6.846  6.941  7.057  7.164  7.235  7.259  7.258  7.221  7.241  7.256  7.267  7.267  5.318  5.835  6.406  6.804  7.162  5.905  6.411  6.814  7.109  7.325  6.097  5.821  6.449  3.738  4.451 0.000E+00
120000. 7.0  0.584 -1.440 -7.448  4.306  5.653  6.008  6.169  6.375  6.804  6.930  7.031  6.687  6.784  6.900  7.008  7.080  7.104  7.106  7.075  7.086  7.101  7.112  7.114  5.149  5.671  6.244  6.644  7.002  5.742  6.250  6.654  6.950  7.166  5.934  5.656  6.289  3.553  4.274 0.000E+00
